Feature,Importance
PPE,0.1364723865266112
MDVP:Flo(Hz),0.1182506387067262
spread1,0.1174344257188173
MDVP:Fo(Hz),0.0859192414630707
MDVP:Fhi(Hz),0.056666764134671005
NHR,0.04963930377688418
RPDE,0.04166821034177039
Jitter:DDP,0.04030354227682007
MDVP:Jitter(Abs),0.03728494435358273
spread2,0.03608864431877929
D2,0.0328989834401602
MDVP:APQ,0.031961293918442164
MDVP:RAP,0.029026412661477766
DFA,0.028159467289048196
MDVP:Jitter(%),0.02589938409187788
HNR,0.025843060312738832
Shimmer:DDA,0.024539129141740595
Shimmer:APQ3,0.022570883582724334
MDVP:PPQ,0.018589450019716208
Shimmer:APQ5,0.016313064396654083
MDVP:Shimmer,0.01510777558404526
MDVP:Shimmer(dB),0.009362993943641415
