Number of features,Selected features,Accuracy,Precision,Recall,F1-score,ROC-AUC
1,PPE,0.8025806451612905,0.8760016420361249,0.8923333333333332,0.8725135941345525,0.7678421052631579
2,"PPE, MDVP:Flo(Hz)",0.756989247311828,0.8617250301880283,0.8596666666666666,0.8413429290552183,0.819374269005848
3,"PPE, MDVP:Flo(Hz), spread1",0.7965591397849463,0.8699999999999999,0.8984736842105263,0.870928674500103,0.8479532163742691
4,"PPE, MDVP:Flo(Hz), spread1, MDVP:Fo(Hz)",0.7767741935483872,0.8676190476190475,0.8738070175438596,0.8579255511184541,0.76571783625731
5,"PPE, MDVP:Flo(Hz), spread1, MDVP:Fo(Hz), MDVP:Fhi(Hz)",0.7967741935483872,0.8613852813852814,0.9071403508771929,0.872337069271125,0.7199195906432749
6,"PPE, MDVP:Flo(Hz), spread1, MDVP:Fo(Hz), MDVP:Fhi(Hz), NHR",0.7832258064516129,0.8306325932132383,0.9343333333333333,0.8688512852139123,0.7702850877192983
7,"PPE, MDVP:Flo(Hz), spread1, MDVP:Fo(Hz), MDVP:Fhi(Hz), NHR, RPDE",0.8165591397849463,0.8453135644159488,0.9593333333333334,0.8888612474995454,0.848391812865497
8,"PPE, MDVP:Flo(Hz), spread1, MDVP:Fo(Hz), MDVP:Fhi(Hz), NHR, RPDE, Jitter:DDP",0.803225806451613,0.8438601064407516,0.9426666666666665,0.8800126728458881,0.8172149122807018
9,"PPE, MDVP:Flo(Hz), spread1, MDVP:Fo(Hz), MDVP:Fhi(Hz), NHR, RPDE, Jitter:DDP, MDVP:Jitter(Abs)",0.8034408602150538,0.8504128129934582,0.9346666666666668,0.8789951690821255,0.8341008771929825
10,"PPE, MDVP:Flo(Hz), spread1, MDVP:Fo(Hz), MDVP:Fhi(Hz), NHR, RPDE, Jitter:DDP, MDVP:Jitter(Abs), spread2",0.8296774193548387,0.8578849929873773,0.959,0.8964335890384522,0.8041666666666666
11,"PPE, MDVP:Flo(Hz), spread1, MDVP:Fo(Hz), MDVP:Fhi(Hz), NHR, RPDE, Jitter:DDP, MDVP:Jitter(Abs), spread2, D2",0.823010752688172,0.8508080699104543,0.959,0.8926784869976359,0.8073830409356726
12,"PPE, MDVP:Flo(Hz), spread1, MDVP:Fo(Hz), MDVP:Fhi(Hz), NHR, RPDE, Jitter:DDP, MDVP:Jitter(Abs), spread2, D2, MDVP:APQ",0.8101075268817205,0.8734897360703812,0.9179999999999999,0.8816618357487922,0.7845394736842105
13,"PPE, MDVP:Flo(Hz), spread1, MDVP:Fo(Hz), MDVP:Fhi(Hz), NHR, RPDE, Jitter:DDP, MDVP:Jitter(Abs), spread2, D2, MDVP:APQ, MDVP:RAP",0.8165591397849463,0.8734897360703812,0.9259999999999999,0.8862871826498097,0.8363669590643275
14,"PPE, MDVP:Flo(Hz), spread1, MDVP:Fo(Hz), MDVP:Fhi(Hz), NHR, RPDE, Jitter:DDP, MDVP:Jitter(Abs), spread2, D2, MDVP:APQ, MDVP:RAP, DFA",0.8165591397849463,0.8647940838964683,0.9343333333333333,0.8868545585363347,0.7495804093567252
